Freq,CATEGORY,PRIMARY_COM_NAME,SCI_NAME,ORDER1,FAMILY,SPECIES_GROUP
1114,species,House Finch,Haemorhous mexicanus,Passeriformes,"Fringillidae (Finches, Euphonias, and Allies)","Finches, Euphonias, and Allies"
1100,species,Northern Waterthrush,Parkesia noveboracensis,Passeriformes,Parulidae (New World Warblers),Wood-Warblers
1086,species,Yellow Warbler,Setophaga petechia,Passeriformes,Parulidae (New World Warblers),Wood-Warblers
1054,species,Swainson's Thrush,Catharus ustulatus,Passeriformes,Turdidae (Thrushes and Allies),Thrushes
1012,species,Eastern Towhee,Pipilo erythrophthalmus,Passeriformes,Passerellidae (New World Sparrows),New World Sparrows
984,species,Blackpoll Warbler,Setophaga striata,Passeriformes,Parulidae (New World Warblers),Wood-Warblers
951,species,Cedar Waxwing,Bombycilla cedrorum,Passeriformes,Bombycillidae (Waxwings),Waxwings
936,species,Chipping Sparrow,Spizella passerina,Passeriformes,Passerellidae (New World Sparrows),New World Sparrows
921,species,Veery,Catharus fuscescens,Passeriformes,Turdidae (Thrushes and Allies),Thrushes
891,species,American Goldfinch,Spinus tristis,Passeriformes,"Fringillidae (Finches, Euphonias, and Allies)","Finches, Euphonias, and Allies"
878,species,Chestnut-sided Warbler,Setophaga pensylvanica,Passeriformes,Parulidae (New World Warblers),Wood-Warblers
801,species,Blue-headed Vireo,Vireo solitarius,Passeriformes,"Vireonidae (Vireos, Shrike-Babblers, and Erpornis)",Vireos
750,species,Black-throated Green Warbler,Setophaga virens,Passeriformes,Parulidae (New World Warblers),Wood-Warblers
742,species,Brown-headed Cowbird,Molothrus ater,Passeriformes,Icteridae (Troupials and Allies),Blackbirds
730,species,Barn Swallow,Hirundo rustica,Passeriformes,Hirundinidae (Swallows),Martins and Swallows
719,species,Warbling Vireo,Vireo gilvus,Passeriformes,"Vireonidae (Vireos, Shrike-Babblers, and Erpornis)",Vireos
718,species,Palm Warbler,Setophaga palmarum,Passeriformes,Parulidae (New World Warblers),Wood-Warblers
702,species,Wood Thrush,Hylocichla mustelina,Passeriformes,Turdidae (Thrushes and Allies),Thrushes
667,species,Canada Warbler,Cardellina canadensis,Passeriformes,Parulidae (New World Warblers),Wood-Warblers
625,species,Blackburnian Warbler,Setophaga fusca,Passeriformes,Parulidae (New World Warblers),Wood-Warblers
603,species,Red-eyed Vireo,Vireo olivaceus,Passeriformes,"Vireonidae (Vireos, Shrike-Babblers, and Erpornis)",Vireos
595,species,Scarlet Tanager,Piranga olivacea,Passeriformes,Cardinalidae (Cardinals and Allies),"Cardinals, Grosbeaks, and Allies"
587,species,Bay-breasted Warbler,Setophaga castanea,Passeriformes,Parulidae (New World Warblers),Wood-Warblers
575,species,Blue-gray Gnatcatcher,Polioptila caerulea,Passeriformes,Polioptilidae (Gnatcatchers),Gnatcatchers
566,species,Rose-breasted Grosbeak,Pheucticus ludovicianus,Passeriformes,Cardinalidae (Cardinals and Allies),"Cardinals, Grosbeaks, and Allies"
549,species,Great Crested Flycatcher,Myiarchus crinitus,Passeriformes,Tyrannidae (Tyrant Flycatchers),"Tyrant Flycatchers: Pewees, Kingbirds, and Allies"
534,species,Cape May Warbler,Setophaga tigrina,Passeriformes,Parulidae (New World Warblers),Wood-Warblers
528,issf,Yellow-rumped Warbler (Myrtle),Setophaga coronata coronata,Passeriformes,Parulidae (New World Warblers),Wood-Warblers
512,species,Northern Mockingbird,Mimus polyglottos,Passeriformes,Mimidae (Mockingbirds and Thrashers),"Catbirds, Mockingbirds, and Thrashers"
492,species,Dark-eyed Junco,Junco hyemalis,Passeriformes,Passerellidae (New World Sparrows),New World Sparrows
489,species,Wilson's Warbler,Cardellina pusilla,Passeriformes,Parulidae (New World Warblers),Wood-Warblers
475,species,Nashville Warbler,Leiothlypis ruficapilla,Passeriformes,Parulidae (New World Warblers),Wood-Warblers
465,species,Indigo Bunting,Passerina cyanea,Passeriformes,Cardinalidae (Cardinals and Allies),"Cardinals, Grosbeaks, and Allies"
452,species,Eastern Phoebe,Sayornis phoebe,Passeriformes,Tyrannidae (Tyrant Flycatchers),"Tyrant Flycatchers: Pewees, Kingbirds, and Allies"
